ICB name,GP code,GP name,Asthma: QOF prevalence,Bowel cancer screening coverage: aged 60 to 74 years old,Breast screening coverage: aged 53 to 70 years old,CHD: QOF prevalence,CKD: QOF prevalence,COPD: QOF prevalence,Cancer: QOF prevalence,Cervical screening coverage: aged 25 to 49 years old,Cervical screening coverage: aged 50 to 64 years old,Children who received at least 1 dose of MMR vaccine between the ages of 1 and 1.5 yrs,Dementia: QOF prevalence,Depression: QOF incidence - new diagnosis,Deprivation score (IMD 2025),Diabetes: QOF prevalence,Hypertension: QOF prevalence,"Last BP reading of patients (80+ yrs, with hypertension), in the last 12 months is <= 150/90 mmHg (denominator incl. PCAs)","Last BP reading of patients (<80 yrs, with hypertension), in the last 12 months is <= 140/90 mmHg (denominator incl. PCAs)",Learning disability: QOF prevalence,Mental Health: QOF prevalence,Obesity: QOF prevalence (new definition),Osteoporosis: QOF prevalence,"Patients (aged 45+ yrs), who have a record of blood pressure in the last 5 yrs (denominator incl. PCAs)",Patients with diabetes and a history of CVD (excl. haem. stroke) treated with a statin (denominator incl. PCAs),People with type 2 diabetes who have received an annual foot check,People with type 2 diabetes who received a cholesterol check,Smoking: QOF prevalence,Stroke: QOF prevalence,Weighted population
Sussex ICB - 70F ,H82099,West Meads Surgery,10.1279,73.6508,68.8119,4.5629,6.3554,2.9386,5.2821,73.5577,78.1457,95.8333,2.7526,1.178,18.507,10.2645,23.7446,87.2154,68.8244,1.0663,1.7855,19.459,1.6503,92.1397,79.4677,87.7049,92.623,13.4915,3.509,10444
Sussex ICB - 70F ,H82100,Northlands Wood Surgery,6.884,78.9474,74.5455,2.313,4.09,0.932,3.5819,71.9298,77.5362,93.2331,0.8084,1.427,8.863,6.1583,12.7218,81.203,64.3599,0.5502,0.887,6.444,0.9452,86.4174,77.6,76.8116,84.058,9.2739,1.4597,7385
Sussex ICB - 70F ,H82615,Ouse Valley Practice,7.1123,77.4809,72.8723,2.8881,5.0668,1.1654,3.5468,78.2738,83.7349,87.2,1.2363,1.23,12.207,6.3917,13.5995,82.0339,73.7345,0.304,0.679,13.008,0.5472,90.1279,83.0509,72.7273,88.3117,9.6095,1.8646,8080
Sussex ICB - 70F ,H82640,Holbrook Surgery,5.921,78.8732,75,2.4486,2.9407,1.0625,3.9385,77.572,78.4091,94.9275,0.4335,1.128,7.675,5.9207,15.2775,83.7573,67.0517,0.519,0.6045,8.7917,0.0999,89.5617,83.3333,75.7813,91.4063,8.1162,1.3922,13141
Sussex ICB - 70F ,Y00351,Langley Corner Surgery,7.1029,69.6049,76.9231,2.8246,5.1866,2.186,3.2504,72.5173,77.6042,92.9688,0.8597,1.237,20.358,8.7975,15.1957,86.6883,72.2868,1.0152,1.0562,16.622,1.5415,89.9322,83.3948,85.5346,91.8239,14.8789,1.6866,12357
Sussex ICB - 97R ,G81002,Grove Road Surgery,5.8318,64.7343,64.9254,3.4355,6.045,2.1613,4.5,65.2632,71.5596,86.6667,0.6935,1.907,24.909,6.5308,14.371,75.2809,65.3846,0.629,1.9194,17.1243,1.2682,86.4553,81.4159,78.6885,93.4426,16.2077,2.129,6864
Sussex ICB - 97R ,G81003,The Lighthouse Medical Practice,7.7486,73.2026,69.6742,3.5886,6.1667,2.1641,5.4953,65.392,70.5882,87.6923,1.1944,2.732,26.666,7.7844,18.0364,71.1939,51.5343,0.9917,1.6491,12.4146,4.0416,86.072,81.8841,77.5,85,14.7417,2.8326,20981
Sussex ICB - 97R ,G81004,Downlands Medical Centre,7.3297,78.2805,73.8351,4.9688,11.3749,2.5735,6.8396,81.1024,80.9045,93.2203,1.356,1.61,12.781,8.9915,21.9242,83.0769,76.1333,0.4949,0.772,12.4559,1.3806,92.085,81.677,87.4126,90.2098,9.9103,3.2961,12843
Sussex ICB - 97R ,G81008,Stone Cross Surgery,7.2567,75.4128,68.6649,3.6153,6.67,2.6603,5.4229,76.9953,76.8953,92.517,0.764,1.336,16.677,8.2319,16.7804,74.4713,62.4027,0.4911,0.8731,10.3475,0.6533,84.4166,79.5918,80.3681,92.0245,11.4297,2.3124,15744
Sussex ICB - 97R ,G81012,Bridgeside Surgery,7.785,76.1062,70.2532,3.9245,8.8219,2.6213,5.2127,78.1095,81.6667,98.1482,1.2882,1.81,19.594,9.8434,18.7537,74.6177,64.4324,0.689,1.2283,16.4373,0.8877,90.1979,75.3623,80.6452,91.3978,13.7184,2.5614,7696
Sussex ICB - 97R ,G81016,Quayside Medical Practice,7.7995,69.0808,68.254,2.8632,4.3057,2.3074,4.2863,71.2,70.297,85.2564,0.4884,1.776,28.14,8.6362,15.1495,77.1208,62.766,0.7579,1.3474,15.1561,0.6013,81.6741,79.661,59.7015,82.0896,16.9128,1.8779,11550
Sussex ICB - 97R ,G81017,Seaside Medical Centre,6.6702,69.0667,62.6866,2.9774,6.0953,3.0876,4.377,70.4545,76.8889,92.6829,1.1282,2.568,31.254,7.9846,15.7689,82.0856,57.1717,0.8567,1.7728,14.9959,1.5023,89.9001,80.5556,74.2647,83.8235,17.8794,2.2309,13236
Sussex ICB - 97R ,G81019,Beacon Surgery,8.1922,77.6224,73.7762,2.7167,2.3948,1.6533,4.924,76.5957,75.9657,92.233,1.1171,1.684,8.712,7.262,17.2297,81.1321,74.7496,0.4021,0.8043,9.6009,0.6625,88.7331,86.7089,90.6542,89.7196,9.7755,2.1805,10587
Sussex ICB - 97R ,G81021,Foundry Healthcare Lewes,7.0148,76.4652,77.3263,3.1306,4.5528,1.5845,5.2643,70.8845,74.8068,85.7988,1.0494,0.773,15.037,5.7623,14.5056,72.2569,56.9068,0.4792,1.3712,9.0971,0.5622,88.2714,80.9735,84.4444,88.8889,11.1372,2.2001,27588
Sussex ICB - 97R ,G81022,Sovereign Practice,7.3929,75.448,71.2366,3.6463,7.7062,2.4497,4.9207,72.8365,76.6784,88.8889,1.1328,1.916,21.639,9.2643,18.6066,81.5625,63.7827,0.7647,1.0903,15.4039,1.0622,90.098,84.1226,85.9296,93.9698,13.1215,2.4214,16293
Sussex ICB - 97R ,G81023,Martins Oak Surgery,7.0767,80,73.5537,3.7758,8.3357,2.0066,5.4975,76.7773,76.1111,86.3636,1.318,1.308,19.257,7.0994,21.2539,82.1192,73.1488,0.6531,0.9143,11.7419,4.0537,90.5668,74.0385,93.4783,97.8261,10.1465,2.7428,8466
Sussex ICB - 97R ,G81024,Ashdown Forest Health Centre,5.687,72.5581,63.245,2.7452,6.3618,1.6209,4.8346,61.1511,67.4797,74.5455,0.6746,0.894,11.751,5.6856,15.6938,83.1081,75.5483,0.5341,0.9557,5.2298,0.3789,86.5872,77.8378,61.8421,96.0526,8.5305,2.1924,9362
Sussex ICB - 97R ,G81029,Seaford Medical Practice,8.2304,77.3399,76.2397,4.4745,7.8465,2.7356,7.1381,73.4091,74.7126,87.8788,1.4287,1.1,13.842,8.6985,21.8075,74.1379,52.7941,0.5261,1.3235,11.1475,0.9685,89.6274,82.1154,82.3276,93.1034,10.9566,3.5275,21776
Sussex ICB - 97R ,G81030,Belmont Surgery,5.968,77.6786,70.6897,2.9845,6.3438,1.5621,5.6007,75.3425,78.3069,88.2353,0.9525,0.609,14.576,6.4124,17.2974,73.2228,66.8085,0.8001,0.7493,7.5938,1.2076,88.285,70.8861,80.7692,92.3077,10.5819,2.5146,7724
Sussex ICB - 97R ,G81031,Harold Road Surgery,6.4465,74.3243,78.9855,4.3849,7.6614,3.6332,5.9885,68.9165,71.659,83.8983,1.2378,3.482,31.24,8.6211,20.4811,77.0126,64.4306,1.2779,1.3681,14.0635,1.3613,90.8369,81.0507,77.821,89.1051,14.8109,2.9366,24104
Sussex ICB - 97R ,G81032,Victoria Medical Centre,6.7338,71.5757,74.4444,2.909,6.8977,1.8473,5.0504,62.5,71.6535,95.0276,1.4886,1.461,20.076,6.5668,14.8822,73.7576,62.7249,0.6277,1.485,9.4044,2.7616,87.1534,77.4725,77.8182,88,14.1295,2.4606,29500
